Token,Language,Anglicism,POS,NE,Lemma
mismísimo,Spn,no,ADJ,O,mismísimo
Compañero,Spn,no,PROPN,B,Compañero
Jefe,Spn,no,PROPN,I,Jefe
y,Spn,no,CONJ,O,y
secundado,Spn,no,ADJ,O,secundar
por,Spn,no,ADP,O,por
el,Spn,no,DET,O,el
Compañero,Spn,no,PROPN,B,Compañero
Scioli,Spn,no,PROPN,I,Scioli
.,PUNCT,no,PUNCT,O,.
En,Spn,no,ADP,B,En
realidad,Spn,no,NOUN,I,realidad
",",PUNCT,no,PUNCT,O,","
el,Spn,no,DET,O,el
Compañero,Spn,no,PROPN,B,Compañero
Represa,Spn,no,PROPN,I,Represa
Hidroeléctrica,Spn,no,PROPN,I,Hidroeléctrica
perdió,Spn,no,VERB,O,perder
porque,Spn,no,SCONJ,O,porque
apareció,Spn,no,VERB,O,aparecer
un,Spn,no,DET,O,uno
tipo,Spn,no,NOUN,O,tipo
llamado,Spn,no,ADJ,O,llamar
Sabbatella,Spn,no,PROPN,B,Sabbatella
que,Spn,no,SCONJ,O,que
lo,Spn,no,PRON,O,el
enfrentó,Spn,no,VERB,O,enfrentar
y,Spn,no,CONJ,O,y
le,Spn,no,PRON,O,le
choreó,Spn,no,VERB,O,choreó
5,NUM,no,NUM,O,5
puntos,Spn,no,NOUN,O,punto
.,PUNCT,no,PUNCT,O,.
De,Spn,no,ADP,B,De
no,Spn,no,ADV,O,no
haber,Spn,no,AUX,O,haber
sido,Spn,no,AUX,O,ser
por,Spn,no,ADP,O,por
eso,Spn,no,PRON,O,ese
",",PUNCT,no,PUNCT,O,","
Kirchner,Spn,no,PROPN,B,Kirchner
hubiera,Spn,no,AUX,O,haber
ganado,Spn,no,VERB,O,ganar
aquellas,Spn,no,DET,O,aquel
elecciones,Spn,no,NOUN,O,elección
y,Spn,no,CONJ,O,y
vaya,Spn,no,VERB,O,ir
uno,Spn,no,PRON,O,unir
a,Spn,no,ADP,O,a
saber,Spn,no,AUX,O,saber
cómo,Spn,no,PRON,O,cómo
hubiera,Spn,no,AUX,O,haber
sido,Spn,no,AUX,O,ser
la,Spn,no,DET,O,lo
historia,Spn,no,NOUN,O,historia
.,PUNCT,no,PUNCT,O,.
Las,Spn,no,DET,B,Las
vueltas,Spn,no,NOUN,I,vuelta
de,Spn,no,ADP,I,de
la,Spn,no,DET,I,lo
vida,Spn,no,NOUN,I,vida
",",PUNCT,no,PUNCT,O,","
¿,PUNCT,no,PUNCT,O,¿
no,Spn,no,ADV,O,no
?,PUNCT,no,PUNCT,O,?
Hoy,Spn,no,ADV,B,Hoy
Sabbatella,Spn,no,PROPN,I,Sabbatella
es,Spn,no,AUX,O,ser
la,Spn,no,DET,O,lo
Armada,Spn,no,PROPN,B,Armada
Brancaleone,Spn,no,PROPN,I,Brancaleone
del,Spn,no,ADP,O,del
kirchnerismo,Spn,no,NOUN,O,kirchnerismo
.,PUNCT,no,PUNCT,O,.
Si,Spn,no,SCONJ,O,Si
fuéramos,Spn,no,VERB,O,ser
un,Spn,no,DET,O,uno
país,Spn,no,NOUN,O,país
común,Spn,no,ADJ,O,común
y,Spn,no,CONJ,O,y
aburrido,Spn,no,ADJ,O,aburrir
",",PUNCT,no,PUNCT,O,","
tendríamos,Spn,no,VERB,O,tener
dos,Spn,no,NUM,O,do
grandes,Spn,no,ADJ,O,grande
frentes,Spn,no,NOUN,O,frente
electorales,Spn,no,ADJ,O,electoral
.,PUNCT,no,PUNCT,O,.
Uno,Spn,no,PRON,B,Uno
de,Spn,no,ADP,I,de
centro,Spn,no,NOUN,I,centrar
izquierda,Spn,no,ADJ,I,izquierdo
",",PUNCT,no,PUNCT,O,","
progresista,Spn,no,ADJ,O,progresista
",",PUNCT,no,PUNCT,O,","
con,Spn,no,ADP,O,con
el,Spn,no,DET,O,el
ala,Spn,no,NOUN,O,ala
progre,Spn,no,NOUN,O,progre
del,Spn,no,ADP,O,del
radicalismo,Spn,no,NOUN,O,radicalismo
",",PUNCT,no,PUNCT,O,","
Binner,Spn,no,PROPN,B,Binner
",",PUNCT,no,PUNCT,O,","
Lilita,Spn,no,PROPN,B,Lilita
",",PUNCT,no,PUNCT,O,","
Margarita,Spn,no,PROPN,B,Margarita
",",PUNCT,no,PUNCT,O,","
Pino,Spn,no,PROPN,B,Pino
",",PUNCT,no,PUNCT,O,","
y,Spn,no,CONJ,O,y
todos,Spn,no,DET,O,todo
los,Spn,no,DET,O,lo
progres,Spn,no,NOUN,O,progre
que,Spn,no,PRON,O,que
anden,Spn,no,VERB,O,andar
sueltos,Spn,no,NOUN,O,suelto
por,Spn,no,ADP,O,por
ahí,Spn,no,ADV,O,ahí
",",PUNCT,no,PUNCT,O,","
y,Spn,no,CONJ,O,y
del,Spn,no,ADP,O,del
otro,Spn,no,DET,O,otro
lado,Spn,no,NOUN,O,lado
",",PUNCT,no,PUNCT,O,","
un,Spn,no,DET,O,uno
frente,Spn,no,NOUN,O,frente
de,Spn,no,ADP,O,de
centro,Spn,no,NOUN,O,centrar
derecha,Spn,no,ADJ,O,derecho
",",PUNCT,no,PUNCT,O,","
conservador,Spn,no,ADJ,O,conservador
",",PUNCT,no,PUNCT,O,","
con,Spn,no,ADP,O,con
Macri,Spn,no,PROPN,B,Macri
",",PUNCT,no,PUNCT,O,","
el,Spn,no,DET,O,el
PJ,Spn,no,NOUN,B,PJ
disidente,Spn,no,ADV,O,disidente
",",PUNCT,no,PUNCT,O,","
sindicalistas,Spn,no,NOUN,O,sindicalista
varios,Spn,no,PRON,O,vario
y,Spn,no,CONJ,O,y
algún,Spn,no,DET,O,alguno
desprendimiento,Spn,no,NOUN,O,desprendimiento
medio,Spn,no,ADJ,O,mediar
rancio,Spn,no,ADJ,O,ranciar
de,Spn,no,ADP,O,de
la,Spn,no,DET,O,lo
UCR,Spn,no,PROPN,B,UCR
.,PUNCT,no,PUNCT,O,.
En,Spn,no,ADP,O,En
lugar,Spn,no,NOUN,O,lugar
de,Spn,no,ADP,O,de
eso,Spn,no,PRON,O,ese
",",PUNCT,no,PUNCT,O,","
tenemos,Spn,no,VERB,O,tener
a,Spn,no,ADP,O,a
todos,Spn,no,DET,O,todo
estos,Spn,no,DET,O,este
tipos,Spn,no,NOUN,O,tipo
desperdigados,Spn,no,ADJ,O,desperdigar
y,Spn,no,CONJ,O,y
deambulando,Spn,no,VERB,O,deambular
aún,Spn,no,ADV,O,aun
aturdidos,Spn,no,ADJ,O,aturdir
por,Spn,no,ADP,O,por
el,Spn,no,DET,O,el
2001,NUM,no,NOUN,O,2001
y,Spn,no,CONJ,O,y
en,Spn,no,ADP,O,en
el,Spn,no,DET,O,el
medio,Spn,no,NOUN,O,mediar
el,Spn,no,DET,O,el
kirchnerismo,Spn,no,NOUN,O,kirchnerismo
",",PUNCT,no,PUNCT,O,","
donde,Spn,no,PRON,O,donde
se,Spn,no,PRON,O,se
mezclan,Spn,no,VERB,O,mezclar
progresistas,Spn,no,NOUN,O,progresista
incautos,Spn,no,ADJ,O,incauto
con,Spn,no,ADP,O,con
unos,Spn,no,DET,O,uno
simpáticos,Spn,no,NOUN,O,simpático
recontrafachos,Spn,no,ADJ,O,recontrafachos
que,Spn,no,PRON,O,que
te,Spn,no,PRON,O,te
la,Spn,no,DET,O,lo
voglio,Spn,no,NOUN,O,voglio
dire,Spn,no,ADJ,O,dire
.,PUNCT,no,PUNCT,O,.
Hay,Spn,no,AUX,O,Hay
de,Spn,no,ADP,O,de
todo,Spn,no,PRON,O,todo
.,PUNCT,no,PUNCT,O,.
Desde,Spn,no,ADP,O,Desde
los,Spn,no,DET,O,lo
humildes,Spn,no,ADJ,O,humilde
genios,Spn,no,NOUN,O,genio
que,Spn,no,PRON,O,que
atacan,Spn,no,VERB,O,atacar
a,Spn,no,ADP,O,a
fracasados,Spn,no,NOUN,O,fracasar
impopulares,Spn,no,ADJ,O,impopular
como,Spn,no,SCONJ,O,comer
Suar,Spn,no,PROPN,B,Suar
",",PUNCT,no,PUNCT,O,","
Darín,Spn,no,PROPN,B,Darín
o,Spn,no,CONJ,O,o
Campanella,Spn,no,PROPN,B,Campanella
",",PUNCT,no,PUNCT,O,","
hasta,Spn,no,ADP,O,hasta
el,Spn,no,DET,O,el
extraño,Spn,no,ADJ,O,extrañar
caso,Spn,no,NOUN,O,casar
del,Spn,no,ADP,O,del
ministro,Spn,no,NOUN,O,ministro
Puricelli,Spn,no,PROPN,B,Puricelli
",",PUNCT,no,PUNCT,O,","
el,Spn,no,DET,O,el
único,Spn,no,ADJ,O,único
kirchnerista,Spn,no,NOUN,O,kirchnerista
que,Spn,no,PRON,O,que
reconoce,Spn,no,VERB,O,reconocer
errores,Spn,no,NOUN,O,error
.,PUNCT,no,PUNCT,O,.
Un,Spn,no,DET,B,Un
excéntrico,Spn,no,NOUN,I,excéntrico
.,PUNCT,no,PUNCT,I,.
Primero,Spn,no,ADJ,B,Primero
asumió,Spn,no,VERB,I,asumir
el,Spn,no,DET,I,el
error,Spn,no,NOUN,I,error
de,Spn,no,ADP,I,de
Ghana,Spn,no,PROPN,B,Ghana
y,Spn,no,CONJ,O,y
ahora,Spn,no,ADV,O,ahora
dijo,Spn,no,VERB,O,decir
que,Spn,no,SCONJ,O,que
se,Spn,no,PRON,O,se
le,Spn,no,PRON,O,le
cae,Spn,no,VERB,O,caer
la,Spn,no,DET,O,lo
cara,Spn,no,NOUN,O,caro
de,Spn,no,ADP,O,de
vergüenza,Spn,no,NOUN,O,vergüenza
por,Spn,no,ADP,O,por
el,Spn,no,DET,O,el
buque,Spn,no,NOUN,O,buque
hundido,Spn,no,ADJ,O,hundir
.,PUNCT,no,PUNCT,O,.
Rarísimo,Spn,no,PROPN,B,Rarísimo
.,PUNCT,no,PUNCT,O,.
Para,Spn,no,ADP,O,Para
mí,Spn,no,PRON,O,mí
que,Spn,no,SCONJ,O,que
mañana,Spn,no,ADV,O,mañana
lo,Spn,no,PRON,O,el
rajan,Spn,no,VERB,O,rajar
.,PUNCT,no,PUNCT,O,.
A,Spn,no,ADP,O,A
los,Spn,no,DET,O,lo
del,Spn,no,ADP,O,del
Frente,Spn,no,PROPN,B,Frente
de,Spn,no,ADP,I,de
centroizquierda,Spn,no,NOUN,I,centroizquierda
",",PUNCT,no,PUNCT,O,","
solo,Spn,no,ADV,O,solo
les,Spn,no,PRON,O,les
cabe,Spn,no,VERB,O,caber
juntarse,Spn,no,NOUN,O,juntarse
en,Spn,no,ADP,O,en
un,Spn,no,DET,O,uno
bar,Spn,no,NOUN,O,bar
y,Spn,no,CONJ,O,y
tratar,Spn,no,AUX,O,tratar
de,Spn,no,ADP,O,de
organizar,Spn,no,VERB,O,organizar
algo,Spn,no,PRON,O,algo
serio,Spn,no,ADJ,O,seriar
.,PUNCT,no,PUNCT,O,.
Es,Spn,no,AUX,B,Es
eso,Spn,no,PRON,I,ese
o,Spn,no,CONJ,I,o
el,Spn,no,DET,I,el
destierro,Spn,no,NOUN,I,desterrar
de,Spn,no,ADP,I,de
todos,Spn,no,DET,I,todo
ellos,Spn,no,PRON,I,ellos
.,PUNCT,no,PUNCT,O,.
Binner,Spn,no,PROPN,B,Binner
declaró,Spn,no,VERB,O,declarar
hace,Spn,no,AUX,O,hacer
poco,Spn,no,ADV,O,poco
que,Spn,no,SCONJ,O,que
el,Spn,no,DET,O,el
FAP,Spn,no,PROPN,B,FAP
es,Spn,no,AUX,O,ser
la,Spn,no,DET,O,lo
segunda,Spn,no,ADJ,O,segundar
fuerza,Spn,no,NOUN,O,forzar
del,Spn,no,ADP,O,del
país,Spn,no,NOUN,O,país
y,Spn,no,CONJ,O,y
que,Spn,no,PRON,O,que
están,Spn,no,AUX,O,estar
sólo,Spn,no,ADV,O,sólo
un,Spn,no,DET,O,uno
escalón,Spn,no,NOUN,O,escalón
abajo,Spn,no,ADV,O,abajar
de,Spn,no,ADP,O,de
la,Spn,no,DET,O,lo
Presidenta,Spn,no,PROPN,B,Presidenta
.,PUNCT,no,PUNCT,O,.
Según,Spn,no,ADP,B,Según
el,Spn,no,DET,O,el
Código,Spn,no,PROPN,B,Código
de,Spn,no,ADP,I,de
Edificación,Spn,no,PROPN,I,Edificación
la,Spn,no,DET,O,lo
alzada,Spn,no,NOUN,O,alzar
en,Spn,no,ADP,O,en
escaleras,Spn,no,NOUN,O,escalera
de,Spn,no,ADP,O,de
primera,Spn,no,ADJ,O,primero
no,Spn,no,ADV,O,no
puede,Spn,no,AUX,O,poder
superar,Spn,no,VERB,O,superar
los,Spn,no,DET,O,lo
18,NUM,no,NUM,O,18
centímetros,Spn,no,NOUN,O,centímetro
.,PUNCT,no,PUNCT,O,.
Si,Spn,no,SCONJ,O,Si
la,Spn,no,DET,O,lo
Compañera,Spn,no,PROPN,O,Compañera
Jefa,Spn,no,PROPN,O,Jefa
sacó,Spn,no,VERB,O,sacar
11,NUM,no,NUM,O,11
.,PUNCT,no,PUNCT,O,.
700,NUM,no,NUM,O,700
.,PUNCT,no,PUNCT,O,.
000,NUM,no,NUM,O,000
votos,Spn,no,NOUN,O,voto
y,Spn,no,CONJ,O,y
Binner,Spn,no,PROPN,B,Binner
sacó,Spn,no,VERB,O,sacar
3,NUM,no,NUM,O,3
.,PUNCT,no,PUNCT,O,.
700,NUM,no,NUM,O,700
.,PUNCT,no,PUNCT,O,.
000,NUM,no,NUM,O,000
quiere,Spn,no,VERB,O,querer
decir,Spn,no,NOUN,O,decir
que,Spn,no,SCONJ,O,que
el,Spn,no,DET,O,el
escalón,Spn,no,NOUN,O,escalón
fue,Spn,no,AUX,O,ser
de,Spn,no,ADP,O,de
8,NUM,no,NUM,O,8
millones,Spn,no,NOUN,O,millón
de,Spn,no,ADP,O,de
votos,Spn,no,NOUN,O,voto
.,PUNCT,no,PUNCT,O,.
Como,Spn,no,SCONJ,O,Como
escalón,Spn,no,NOUN,O,escalón
es,Spn,no,AUX,O,ser
un,Spn,no,DET,O,uno
poquito,Spn,no,ADV,O,poquito
alto,Spn,no,ADJ,O,alto
.,PUNCT,no,PUNCT,O,.
Así,Spn,no,ADV,B,Así
nunca,Spn,no,ADV,O,nunca
le,Spn,no,PRON,O,le
van,Spn,no,AUX,O,ir
a,Spn,no,ADP,O,a
aprobar,Spn,no,VERB,O,aprobar
los,Spn,no,DET,O,lo
planos,Spn,no,NOUN,O,plano
.,PUNCT,no,PUNCT,O,.
Pero,Spn,no,CONJ,O,Pero
si,Spn,no,SCONJ,O,si
se,Spn,no,PRON,O,se
ayudan,Spn,no,VERB,O,ayudar
entre,Spn,no,ADP,O,entrar
todos,Spn,no,PRON,O,todo
y,Spn,no,CONJ,O,y
encuentran,Spn,no,VERB,O,encontrar
uno,Spn,no,PRON,O,unir
que,Spn,no,PRON,O,que
sonría,Spn,no,VERB,O,sonreír
por,Spn,no,ADP,O,por
televisión,Spn,no,NOUN,O,televisión
",",PUNCT,no,PUNCT,O,","
pueden,Spn,no,AUX,O,poder
lograr,Spn,no,VERB,O,lograr
algo,Spn,no,PRON,O,algo
.,PUNCT,no,PUNCT,O,.
Del,Spn,no,ADP,B,Del
otro,Spn,no,DET,I,otro
lado,Spn,no,NOUN,I,lado
",",PUNCT,no,PUNCT,O,","
en,Spn,no,ADP,O,en
el,Spn,no,DET,O,el
Frente,Spn,no,PROPN,B,Frente
de,Spn,no,ADP,O,de
centroderecha,Spn,no,PROPN,O,centroderecha
todo,Spn,no,PRON,O,todo
parece,Spn,no,AUX,O,parecer
indicar,Spn,no,AUX,O,indicar
que,Spn,no,SCONJ,O,que
lo,Spn,no,PRON,O,el
lideraría,Spn,no,VERB,O,liderar
el,Spn,no,DET,O,el
Compañero,Spn,no,PROPN,B,Compañero
Mauri,Spn,no,PROPN,I,Mauri
.,PUNCT,no,PUNCT,O,.
El,Spn,no,DET,B,El
tipo,Spn,no,NOUN,I,tipo
declaró,Spn,no,VERB,I,declarar
que,Spn,no,SCONJ,O,que
está,Spn,no,AUX,O,estar
armando,Spn,no,VERB,O,armar
“,PUNCT,no,PUNCT,O,“
el,Spn,no,DET,O,el
mejor,Spn,no,ADJ,O,mejor
equipo,Spn,no,NOUN,O,equipar
que,Spn,no,PRON,O,que
se,Spn,no,PRON,O,se
haya,Spn,no,AUX,O,haber
visto,Spn,no,VERB,O,vestir
desde,Spn,no,ADP,O,desde
Frondizi,Spn,no,PROPN,B,Frondizi
para,Spn,no,ADP,O,parir
acá,Spn,no,ADV,O,acá
”,PUNCT,no,PUNCT,O,”
.,PUNCT,no,PUNCT,O,.
Por,Spn,no,ADP,B,Por
ahora,Spn,no,ADV,I,ahora
solo,Spn,no,NOUN,I,solo
consiguió,Spn,no,VERB,I,conseguir
a,Spn,no,ADP,O,a
Miguel,Spn,no,PROPN,B,Miguel
Del,Spn,no,ADP,I,Del
Sel,Spn,no,PROPN,I,Sel
",",PUNCT,no,PUNCT,O,","
al,Spn,no,ADP,O,al
árbitro,Spn,no,NOUN,O,árbitro
Baldassi,Spn,no,PROPN,B,Baldassi
",",PUNCT,no,PUNCT,O,","
al,Spn,no,ADP,O,al
Colorado,Spn,no,PROPN,B,Colorado
Mac,Spn,no,PROPN,I,Mac
Allister,Spn,no,PROPN,I,Allister
y,Spn,no,CONJ,O,y
al,Spn,no,ADP,O,al
hermano,Spn,no,NOUN,O,hermanar
de,Spn,no,ADP,O,de
Ginóbili,Spn,no,PROPN,B,Ginóbili
.,PUNCT,no,PUNCT,O,.
Para,Spn,no,ADP,O,Para
colmo,Spn,no,NOUN,O,colmar
esta,Spn,no,DET,O,este
semana,Spn,no,NOUN,O,semana
se,Spn,no,PRON,O,se
le,Spn,no,PRON,O,le
complicó,Spn,no,VERB,O,complicar
un,Spn,no,DET,O,uno
poquito,Spn,no,ADV,O,poquito
porque,Spn,no,SCONJ,O,porque
se,Spn,no,PRON,O,se
le,Spn,no,PRON,O,le
bajó,Spn,no,VERB,O,bajar
Rocío,Spn,no,PROPN,B,Rocío
Marengo,Spn,no,PROPN,I,Marengo
",",PUNCT,no,PUNCT,O,","
quien,Spn,no,PRON,O,quien
ahora,Spn,no,ADV,O,ahora
fue,Spn,no,AUX,O,ser
tentada,Spn,no,VERB,O,tentar
por,Spn,no,ADP,O,por
La,Spn,no,DET,B,La
Cámpora,Spn,no,PROPN,I,Cámpora
(,PUNCT,no,PUNCT,O,(
mucha,Spn,no,DET,O,mucho
militancia,Spn,no,NOUN,O,militancia
",",PUNCT,no,PUNCT,O,","
mucho,Spn,no,ADV,O,mucho
pibes,Spn,no,NOUN,O,pibes
para,Spn,no,ADP,O,parir
la,Spn,no,DET,O,lo
liberación,Spn,no,NOUN,O,liberación
",",PUNCT,no,PUNCT,O,","
pero,Spn,no,CONJ,O,pero
en,Spn,no,ADP,O,en
el,Spn,no,DET,O,el
fondo,Spn,no,NOUN,O,fondo
están,Spn,no,AUX,O,estar
más,Spn,no,ADV,O,más
calientes,Spn,no,ADJ,O,caliente
que,Spn,no,SCONJ,O,que
un,Spn,no,DET,O,uno
búfalo,Spn,no,NOUN,O,búfalo
en,Spn,no,ADP,O,en
celo,Spn,no,NOUN,O,celar
),PUNCT,no,PUNCT,O,)
.,PUNCT,no,PUNCT,O,.
Veremos,Spn,no,VERB,B,Veremos
.,PUNCT,no,PUNCT,O,.
El,Spn,no,DET,B,El
kirchnerismo,Spn,no,NOUN,I,kirchnerismo
enfrenta,Spn,no,VERB,I,enfrentar
las,Spn,no,DET,I,los
elecciones,Spn,no,NOUN,I,elección
evaluando,Spn,no,VERB,I,evaluar
varios,Spn,no,DET,I,vario
escenarios,Spn,no,NOUN,I,escenario
:,PUNCT,no,PUNCT,O,:
Opción,Spn,no,PROPN,B,Opción
1,NUM,no,NUM,I,1
:,PUNCT,no,PUNCT,O,:
Ganan,Spn,no,PROPN,O,Ganan
por,Spn,no,ADP,O,por
afano,Spn,no,NOUN,O,afanar
",",PUNCT,no,PUNCT,O,","
incendian,Spn,no,VERB,O,incendiar
la,Spn,no,DET,O,lo
Constitución,Spn,no,PROPN,B,Constitución
y,Spn,no,CONJ,O,y
al,Spn,no,ADP,O,al
que,Spn,no,PRON,O,que
no,Spn,no,ADV,O,no
le,Spn,no,PRON,O,le
guste,Spn,no,VERB,O,gustar
que,Spn,no,SCONJ,O,que
se,Spn,no,PRON,O,se
exilie,Spn,no,VERB,O,exiliar
.,PUNCT,no,PUNCT,O,.
Casi,Spn,no,ADV,B,Casi
imposible,Spn,no,ADJ,I,imposible
.,PUNCT,no,PUNCT,O,.
Opción,Spn,no,NOUN,B,Opción
2,NUM,no,NUM,I,2
:,PUNCT,no,PUNCT,O,:
ganan,Spn,no,VERB,O,ganar
pero,Spn,no,CONJ,O,pero
no,Spn,no,ADV,O,no
les,Spn,no,PRON,O,les
alcanza,Spn,no,VERB,O,alcanzar
