Token,POS,NE,Lemma,Language,Candidate,Anglicism_x,Anglicism_y,Adapted,Exist
los,DET,I,lo,DET,False,False,FALSE,,both
los,DET,B,lo,DET,False,False,FALSE,,both
los,PRON,O,lo,PRON,False,False,FALSE,,both
los,PRON,I,lo,PRON,False,False,FALSE,,both
demás,PRON,O,demás,PRON,False,False,FALSE,,both
las,DET,O,los,DET,False,False,FALSE,,both
las,PRON,O,los,PRON,False,False,FALSE,,both
las,DET,I,los,DET,False,False,FALSE,,both
redes,NOUN,O,redar,,True,,FALSE,,both
sociales,ADJ,O,social,,True,,FALSE,,both
El,DET,B,El,DET,False,False,FALSE,,both
El,DET,O,El,DET,False,False,FALSE,,both
-,PUNCT,O,-,PUNCT,False,False,FALSE,,both
-,PUNCT,I,-,PUNCT,False,False,FALSE,,both
anglicismo,NOUN,O,anglicismo,,True,,FALSE,,both
que,PRON,O,que,PRON,False,False,FALSE,,both
que,SCONJ,O,que,SCONJ,False,False,FALSE,,both
que,SCONJ,I,que,SCONJ,False,False,FALSE,,both
que,PRON,I,que,PRON,False,False,FALSE,,both
proviene,VERB,O,provenir,,True,,FALSE,,both
share,NOUN,O,share,,True,,TRUE,False,both
(,PUNCT,O,(,PUNCT,False,False,FALSE,,both
compartir,VERB,O,compartir,,True,,FALSE,,both
),PUNCT,O,),PUNCT,False,False,FALSE,,both
parenting,NOUN,O,parenting,,True,,TRUE,False,both
consiste,VERB,O,consistir,,True,,FALSE,,both
documentar,VERB,O,documentar,,True,,FALSE,,both
primeras,ADJ,O,primero,,True,,FALSE,,both
sonrisas,NOUN,O,sonrisa,,True,,FALSE,,both
palabras,NOUN,O,palabra,,True,,FALSE,,both
pasos,NOUN,O,paso,,True,,FALSE,,both
pasos,NOUN,I,paso,Name Entity,False,False,FALSE,,both
...,PUNCT,O,...,PUNCT,False,False,FALSE,,both
...,PUNCT,I,...,PUNCT,False,False,FALSE,,both
cada,DET,O,cada,DET,False,False,FALSE,,both
cada,DET,I,cada,DET,False,False,FALSE,,both
una,PRON,O,uno,PRON,False,False,FALSE,,both
una,DET,O,uno,DET,False,False,FALSE,,both
una,DET,I,uno,DET,False,False,FALSE,,both
anécdotas,NOUN,O,anécdota,,True,,FALSE,,both
más,ADV,O,más,ADV,False,False,FALSE,,both
más,ADV,I,más,ADV,False,False,FALSE,,both
pequeños,ADJ,O,pequeño,,True,,FALSE,,both
Facebook,PROPN,B,Facebook,PROPN,False,False,FALSE,,both
Facebook,PROPN,I,Facebook,PROPN,False,False,FALSE,,both
Instagram,PROPN,B,Instagram,PROPN,False,False,FALSE,,both
otras,DET,O,otro,DET,False,False,FALSE,,both
otras,DET,I,otro,DET,False,False,FALSE,,both
otras,PRON,O,otro,PRON,False,False,FALSE,,both
.,PUNCT,O,.,PUNCT,False,False,FALSE,,both
.,PUNCT,I,.,PUNCT,False,False,FALSE,,both
se,PRON,O,se,PRON,False,False,FALSE,,both
se,PRON,I,se,PRON,False,False,FALSE,,both
ha,AUX,O,haber,AUX,False,False,FALSE,,both
ha,AUX,I,haber,AUX,False,False,FALSE,,both
convertido,VERB,O,convertir,,True,,FALSE,,both
práctica,NOUN,O,práctico,,True,,FALSE,,both
tan,ADV,O,tan,ADV,False,False,FALSE,,both
tan,ADV,I,tan,ADV,False,False,FALSE,,both
habitual,ADJ,O,habitual,,True,,FALSE,,both
diccionario,NOUN,O,diccionario,,True,,FALSE,,both
británico,ADJ,O,británico,,True,,FALSE,,both
Collins,PROPN,B,Collins,PROPN,False,False,FALSE,,both
lo,PRON,O,el,PRON,False,False,FALSE,,both
lo,DET,O,el,DET,False,False,FALSE,,both
lo,PRON,I,el,PRON,False,False,FALSE,,both
lo,DET,I,el,DET,False,False,FALSE,,both
incluyó,VERB,O,incluir,,True,,FALSE,,both
sus,DET,O,su,DET,False,False,FALSE,,both
sus,DET,I,su,DET,False,False,FALSE,,both
sus,PRON,O,su,PRON,False,False,FALSE,,both
páginas,NOUN,O,página,,True,,FALSE,,both
2016,NOUN,O,2016,,True,,FALSE,,both
Desde,ADP,O,Desde,ADP,False,False,FALSE,,both
Desde,ADP,B,Desde,ADP,False,False,FALSE,,both
entonces,ADV,O,entonces,ADV,False,False,FALSE,,both
fenómeno,NOUN,O,fenómeno,,True,,FALSE,,both
no,ADV,O,no,ADV,False,False,FALSE,,both
no,ADV,I,no,ADV,False,False,FALSE,,both
no,PART,O,no,PART,False,False,FALSE,,both
no,PART,I,no,PART,False,False,FALSE,,both
dejado,AUX,O,dejar,AUX,False,False,FALSE,,both
crecer,VERB,O,crecer,,True,,FALSE,,both
Hasta,ADP,B,Hasta,ADP,False,False,FALSE,,both
Hasta,ADP,I,Hasta,ADP,False,False,FALSE,,both
Hasta,ADP,O,Hasta,ADP,False,False,FALSE,,both
ahora,ADV,I,ahora,ADV,False,False,FALSE,,both
ahora,ADV,O,ahora,ADV,False,False,FALSE,,both
existido,VERB,O,existir,,True,,FALSE,,both
otra,DET,O,otro,DET,False,False,FALSE,,both
otra,PRON,O,otro,PRON,False,False,FALSE,,both
generación,NOUN,O,generación,,True,,FALSE,,both
generación,NOUN,I,generación,Name Entity,False,False,FALSE,,both
niños,NOUN,O,niño,,True,,FALSE,,both
con,ADP,O,con,ADP,False,False,FALSE,,both
con,ADP,I,con,ADP,False,False,FALSE,,both
infancia,NOUN,O,infancia,,True,,FALSE,,both
pública,ADJ,O,público,,True,,FALSE,,both
probable,ADJ,O,probable,,True,,FALSE,,both
cuando,SCONJ,O,cuando,SCONJ,False,False,FALSE,,both
cuando,SCONJ,I,cuando,SCONJ,False,False,FALSE,,both
cuando,PRON,O,cuando,PRON,False,False,FALSE,,both
crezcan,VERB,O,crecer,,True,,FALSE,,both
muchos,PRON,O,mucho,PRON,False,False,FALSE,,both
muchos,DET,O,mucho,DET,False,False,FALSE,,both
estén,AUX,O,estar,AUX,False,False,FALSE,,both
acuerdo,NOUN,O,acordar,Stop Word,False,False,FALSE,,both
ello,PRON,O,él,PRON,False,False,FALSE,,both
ello,PRON,I,él,PRON,False,False,FALSE,,both
dañino,ADJ,O,dañino,,True,,FALSE,,both
3,NUM,O,3,NUM,False,False,FALSE,,both
categorías,NOUN,O,categoría,,True,,FALSE,,both
Podría,PROPN,B,Podría,PROPN,False,False,FALSE,,both
decirse,VERB,O,decirse,,True,,FALSE,,both
existen,VERB,O,existir,Stop Word,False,False,FALSE,,both
tres,NUM,O,tres,NUM,False,False,FALSE,,both
padres,NOUN,O,padre,,True,,FALSE,,both
padres,NOUN,I,padre,Name Entity,False,False,FALSE,,both
:,PUNCT,O,:,PUNCT,False,False,FALSE,,both
:,PUNCT,I,:,PUNCT,False,False,FALSE,,both
Los,DET,O,Los,DET,False,False,FALSE,,both
Los,DET,B,Los,DET,False,False,FALSE,,both
Los,DET,I,Los,DET,False,False,FALSE,,both
orgullosos,ADJ,O,orgulloso,,True,,FALSE,,both
protectores,NOUN,I,protector,Name Entity,False,False,FALSE,,both
irritados,ADJ,I,irritar,Name Entity,False,False,FALSE,,both
primeros,ADJ,I,primero,Stop Word,False,False,FALSE,,both
primeros,ADJ,O,primero,Stop Word,False,False,FALSE,,both
son,AUX,O,ser,AUX,False,False,FALSE,,both
aquellos,PRON,O,aquel,PRON,False,False,FALSE,,both
aquellos,DET,O,aquel,DET,False,False,FALSE,,both
a,ADP,O,a,ADP,False,False,FALSE,,both
a,ADP,I,a,ADP,False,False,FALSE,,both
quienes,PRON,O,quien,PRON,False,False,FALSE,,both
les,PRON,O,les,PRON,False,False,FALSE,,both
encantaría,VERB,O,encantar,,True,,FALSE,,both
contactos,NOUN,O,contacto,,True,,FALSE,,both
supieran,VERB,O,saber,,True,,FALSE,,both
todo,PRON,O,todo,PRON,False,False,FALSE,,both
todo,DET,O,todo,DET,False,False,FALSE,,both
todo,DET,I,todo,DET,False,False,FALSE,,both
todo,PRON,I,todo,PRON,False,False,FALSE,,both
encargan,VERB,O,encargar,,True,,FALSE,,both
hacerlo,NOUN,O,hacerlo,Stop Word,False,False,FALSE,,both
hacerlo,ADJ,O,hacerlo,Stop Word,False,False,FALSE,,both
publicando,VERB,O,publicar,,True,,FALSE,,both
foto,NOUN,O,foto,,True,,FALSE,,both
anécdota,VERB,O,anécdota,,True,,FALSE,,both
través,NOUN,O,través,Stop Word,False,False,FALSE,,both
red,NOUN,O,red,,True,,FALSE,,both
social,ADJ,O,social,,True,,FALSE,,both
Savannah,PROPN,B,Savannah,PROPN,False,False,FALSE,,both
Morrison,PROPN,I,Morrison,PROPN,False,False,FALSE,,both
Glasgow,PROPN,B,Glasgow,PROPN,False,False,FALSE,,both
Escocia,PROPN,B,Escocia,PROPN,False,False,FALSE,,both
ellas,PRON,O,ellos,PRON,False,False,FALSE,,both
Me,PRON,O,Me,PRON,False,False,FALSE,,both
Me,PRON,B,Me,PRON,False,False,FALSE,,both
encanta,VERB,O,encantar,,True,,FALSE,,both
encanta,VERB,I,encantar,Name Entity,False,False,FALSE,,both
publicar,VERB,O,publicar,,True,,FALSE,,both
fotos,NOUN,O,foto,,True,,FALSE,,both
mi,DET,O,mi,DET,False,False,FALSE,,both
mi,DET,I,mi,DET,False,False,FALSE,,both
pequeño,ADJ,O,pequeño,,True,,FALSE,,both
pequeño,ADJ,I,pequeño,Name Entity,False,False,FALSE,,both
e,CONJ,O,e,CONJ,False,False,FALSE,,both
mis,DET,I,mi,DET,False,False,FALSE,,both
mis,DET,O,mi,DET,False,False,FALSE,,both
amigos,NOUN,I,amigo,Name Entity,False,False,FALSE,,both
amigos,NOUN,O,amigo,,True,,FALSE,,both
familiares,NOUN,O,familiar,,True,,FALSE,,both
familiares,ADJ,O,familiar,,True,,FALSE,,both
comenten,VERB,O,comentar,,True,,FALSE,,both
o,CONJ,O,o,CONJ,False,False,FALSE,,both
hagan,VERB,O,hacer,,True,,FALSE,,both
clic,ADJ,O,clic,,True,,TRUE,True,both
',SYM,O,',SYM,False,False,FALSE,,both
',SYM,I,',SYM,False,False,FALSE,,both
gusta,VERB,I,gustar,Name Entity,False,False,FALSE,,both
gusta,VERB,O,gustar,,True,,FALSE,,both
le,PRON,O,le,PRON,False,False,FALSE,,both
le,PRON,I,le,PRON,False,False,FALSE,,both
cuenta,VERB,O,contar,Stop Word,False,False,FALSE,,both
cuenta,NOUN,O,contar,Stop Word,False,False,FALSE,,both
BBC,PROPN,B,BBC,PROPN,False,False,FALSE,,both
También,ADV,B,También,ADV,False,False,FALSE,,both
disfruto,VERB,O,disfrutar,,True,,FALSE,,both
comentando,VERB,O,comentar,,True,,FALSE,,both
haciendo,VERB,O,hacer,Stop Word,False,False,FALSE,,both
like,VERB,O,like,,True,,TRUE,False,both
parece,AUX,I,parecer,AUX,False,False,FALSE,,both
parece,AUX,O,parecer,AUX,False,False,FALSE,,both
increíble,ADJ,I,increíble,Name Entity,False,False,FALSE,,both
pueda,AUX,O,poder,AUX,False,False,FALSE,,both
sentirme,ADJ,O,sentirme,,True,,FALSE,,both
parte,NOUN,O,partir,Stop Word,False,False,FALSE,,both
parte,NOUN,I,partir,Stop Word,False,False,FALSE,,both
vidas,NOUN,O,vida,,True,,FALSE,,both
estando,AUX,O,estar,AUX,False,False,FALSE,,both
miles,NUM,O,mil,NUM,False,False,FALSE,,both
kilómetros,NOUN,O,kilómetro,,True,,FALSE,,both
distancia,NOUN,O,distanciar,,True,,FALSE,,both
distancia,NOUN,I,distanciar,Name Entity,False,False,FALSE,,both
En,ADP,O,En,ADP,False,False,FALSE,,both
En,ADP,B,En,ADP,False,False,FALSE,,both
opinión,NOUN,O,opinión,,True,,FALSE,,both
mientras,SCONJ,O,mientras,SCONJ,False,False,FALSE,,both
mientras,CONJ,O,mientras,CONJ,False,False,FALSE,,both
sean,AUX,O,ser,AUX,False,False,FALSE,,both
indecentes,ADJ,O,indecente,,True,,FALSE,,both
justificar,VERB,O,justificar,,True,,FALSE,,both
presencia,NOUN,O,presenciar,,True,,FALSE,,both
del,ADP,O,del,ADP,False,False,FALSE,,both
del,ADP,I,del,ADP,False,False,FALSE,,both
niño,NOUN,O,niño,,True,,FALSE,,both
si,SCONJ,O,si,SCONJ,False,False,FALSE,,both
si,SCONJ,I,si,SCONJ,False,False,FALSE,,both
pregunta,VERB,O,preguntar,,True,,FALSE,,both
pregunta,NOUN,O,preguntar,,True,,FALSE,,both
crece,VERB,O,crecer,,True,,FALSE,,both
hay,AUX,O,haber,AUX,False,False,FALSE,,both
hay,AUX,I,haber,AUX,False,False,FALSE,,both
agrega,VERB,O,agregar,,True,,FALSE,,both
Lo,DET,B,Lo,DET,False,False,FALSE,,both
Lo,PRON,B,Lo,PRON,False,False,FALSE,,both
genera,VERB,I,generar,Name Entity,False,False,FALSE,,both
genera,VERB,O,generar,,True,,FALSE,,both
debate,NOUN,I,debatir,Name Entity,False,False,FALSE,,both
debate,NOUN,O,debatir,,True,,FALSE,,both
para,ADP,O,parir,ADP,False,False,FALSE,,both
para,ADP,I,parir,ADP,False,False,FALSE,,both
solo,ADJ,O,solo,Stop Word,False,False,FALSE,,both
solo,ADV,O,solo,ADV,False,False,FALSE,,both
hecho,NOUN,O,hacer,Stop Word,False,False,FALSE,,both
hecho,NOUN,I,hacer,Stop Word,False,False,FALSE,,both
hecho,VERB,O,hacer,Stop Word,False,False,FALSE,,both
hecho,ADJ,O,hacer,Stop Word,False,False,FALSE,,both
sin,ADP,O,sin,ADP,False,False,FALSE,,both
sin,ADP,I,sin,ADP,False,False,FALSE,,both
permiso,NOUN,O,permiso,,True,,FALSE,,both
menor,ADJ,O,menor,,True,,FALSE,,both
ya,ADV,O,ya,ADV,False,False,FALSE,,both
indecente,ADJ,O,indecente,,True,,FALSE,,both
Son,AUX,B,Son,AUX,False,False,FALSE,,both
privacidad,NOUN,I,privacidad,Name Entity,False,False,FALSE,,both
privacidad,NOUN,O,privacidad,,True,,FALSE,,both
menos,ADV,O,menos,ADV,False,False,FALSE,,both
menos,ADV,I,menos,ADV,False,False,FALSE,,both
pero,CONJ,O,pero,CONJ,False,False,FALSE,,both
mucho,ADV,O,mucho,ADV,False,False,FALSE,,both
cautelosos,ADJ,O,cauteloso,,True,,FALSE,,both
hora,NOUN,O,hora,,True,,FALSE,,both
imágenes,NOUN,O,imagen,,True,,FALSE,,both
aparecen,VERB,O,aparecer,,True,,FALSE,,both
menores,ADJ,O,menor,,True,,FALSE,,both
Hago,VERB,B,Hago,Stop Word,False,False,FALSE,,both
posible,ADJ,O,posible,Stop Word,False,False,FALSE,,both
poner,VERB,O,poner,Stop Word,False,False,FALSE,,both
ninguna,DET,O,ninguno,DET,False,False,FALSE,,both
hijo,NOUN,O,hijo,,True,,FALSE,,both
explica,VERB,O,explicar,,True,,FALSE,,both
briánica,NOUN,O,briánica,,True,,FALSE,,both
Rosie,PROPN,B,Rosie,PROPN,False,False,FALSE,,both
McDonald,PROPN,I,McDonald,PROPN,False,False,FALSE,,both
Es,AUX,O,Es,AUX,False,False,FALSE,,both
ser,NOUN,O,ser,Stop Word,False,False,FALSE,,both
ser,AUX,O,ser,AUX,False,False,FALSE,,both
humano,ADJ,O,humanar,,True,,FALSE,,both
tiene,VERB,O,tener,Stop Word,False,False,FALSE,,both
tiene,VERB,I,tener,Stop Word,False,False,FALSE,,both
mismo,DET,O,mismo,DET,False,False,FALSE,,both
mismo,ADJ,O,mismo,Stop Word,False,False,FALSE,,both
mismo,PRON,O,mismo,PRON,False,False,FALSE,,both
mismo,ADJ,I,mismo,Stop Word,False,False,FALSE,,both
mismo,PRON,I,mismo,PRON,False,False,FALSE,,both
derecho,NOUN,O,derecho,,True,,FALSE,,both
cualquier,DET,O,cualquiera,DET,False,False,FALSE,,both
cualquier,DET,I,cualquiera,DET,False,False,FALSE,,both
persona,NOUN,O,personar,,True,,FALSE,,both
Siendo,AUX,B,Siendo,AUX,False,False,FALSE,,both
su,DET,O,su,DET,False,False,FALSE,,both
capacidad,NOUN,O,capacidad,,True,,FALSE,,both
comprensión,NOUN,O,comprensión,,True,,FALSE,,both
eso,PRON,O,ese,PRON,False,False,FALSE,,both
eso,PRON,I,ese,PRON,False,False,FALSE,,both
significa,VERB,O,significar,,True,,FALSE,,both
adulto,ADJ,O,adulto,,True,,FALSE,,both
considera,VERB,O,considerar,Stop Word,False,False,FALSE,,both
trabajo,NOUN,O,trabajar,Stop Word,False,False,FALSE,,both
trabajo,ADJ,O,trabajar,Stop Word,False,False,FALSE,,both
trabajo,NOUN,I,trabajar,Stop Word,False,False,FALSE,,both
como,SCONJ,O,comer,SCONJ,False,False,FALSE,,both
como,PRON,O,comer,PRON,False,False,FALSE,,both
madre,NOUN,O,madre,,True,,FALSE,,both
madre,PROPN,O,madre,PROPN,False,False,FALSE,,both
asegurarse,VERB,O,asegurarse,,True,,FALSE,,both
derechos,NOUN,O,derecho,,True,,FALSE,,both
reconocidos,VERB,O,reconocer,,True,,FALSE,,both
respetados,ADJ,O,respetar,,True,,FALSE,,both
muchas,DET,O,mucho,DET,False,False,FALSE,,both
muchas,PRON,O,mucho,PRON,False,False,FALSE,,both
personas,NOUN,O,personar,,True,,FALSE,,both
están,AUX,O,estar,AUX,False,False,FALSE,,both
irritadas,ADJ,O,irritar,,True,,FALSE,,both
hartas,NOUN,O,harto,,True,,FALSE,,both
Sus,DET,B,Sus,DET,False,False,FALSE,,both
muros,NOUN,I,muro,Name Entity,False,False,FALSE,,both
repletos,ADJ,O,repleto,,True,,FALSE,,both
tienen,VERB,O,tener,Stop Word,False,False,FALSE,,both
bastante,ADV,O,bastante,ADV,False,False,FALSE,,both
Detesto,VERB,B,Detesto,Name Entity,False,False,FALSE,,both
publican,VERB,I,publicar,Name Entity,False,False,FALSE,,both
cosas,NOUN,I,coser,Stop Word,False,False,FALSE,,both
cosas,NOUN,O,coser,Stop Word,False,False,FALSE,,both
mensajes,NOUN,O,mensaje,,True,,FALSE,,both
cumpleaños,NOUN,O,cumpleaños,,True,,FALSE,,both
todavía,ADV,O,todavía,ADV,False,False,FALSE,,both
suficientemente,ADV,O,suficientemente,ADV,False,False,FALSE,,both
mayores,ADJ,O,mayor,,True,,FALSE,,both
leerlo,NOUN,O,leerlo,,True,,FALSE,,both
dijo,VERB,O,decir,Stop Word,False,False,FALSE,,both
Shaun,PROPN,I,Shaun,PROPN,False,False,FALSE,,both
Bacon,PROPN,I,Bacon,PROPN,False,False,FALSE,,both
No,ADV,O,No,ADV,False,False,FALSE,,both
No,ADV,B,No,ADV,False,False,FALSE,,both
No,PART,B,No,PART,False,False,FALSE,,both
me,PRON,O,me,PRON,False,False,FALSE,,both
cuenten,VERB,O,contar,,True,,FALSE,,both
él,PRON,O,él,PRON,False,False,FALSE,,both
ella,PRON,O,él,PRON,False,False,FALSE,,both
ella,PRON,I,él,PRON,False,False,FALSE,,both
díganselo,NOUN,O,díganselo,,True,,FALSE,,both
cara,NOUN,O,caro,,True,,FALSE,,both
viven,VERB,O,vivir,,True,,FALSE,,both
misma,DET,O,mismo,DET,False,False,FALSE,,both
casa,NOUN,O,casar,,True,,FALSE,,both
casa,PROPN,O,casar,PROPN,False,False,FALSE,,both
necesito,VERB,I,necesitar,Name Entity,False,False,FALSE,,both
concluye,VERB,O,concluir,,True,,FALSE,,both
Ofcom,PROPN,B,Ofcom,PROPN,False,False,FALSE,,both
regulador,NOUN,O,regulador,,True,,FALSE,,both
comunicaciones,NOUN,O,comunicación,,True,,FALSE,,both
Reino,PROPN,B,Reino,PROPN,False,False,FALSE,,both
Reino,PROPN,I,Reino,PROPN,False,False,FALSE,,both
Unido,PROPN,I,Unido,PROPN,False,False,FALSE,,both
elaboró,VERB,O,elaborar,,True,,FALSE,,both
estudio,NOUN,O,estudiar,,True,,FALSE,,both
estudio,NOUN,I,estudiar,Name Entity,False,False,FALSE,,both
2017,NOUN,O,2017,,True,,FALSE,,both
sugiere,VERB,O,sugerir,,True,,FALSE,,both
videos,NOUN,O,videos,,True,,FALSE,,both
divisorio,ADJ,O,divisorio,,True,,FALSE,,both
muy,ADV,O,muy,ADV,False,False,FALSE,,both
muy,ADV,I,muy,ADV,False,False,FALSE,,both
divididos,ADJ,O,dividir,,True,,FALSE,,both
sensato,VERB,O,sensato,,True,,FALSE,,both
Lindsey,PROPN,B,Lindsey,PROPN,False,False,FALSE,,both
Fussell,PROPN,I,Fussell,PROPN,False,False,FALSE,,both
directora,NOUN,O,director,,True,,FALSE,,both
directora,ADJ,O,director,,True,,FALSE,,both
consumo,NOUN,O,consumir,,True,,FALSE,,both
La,DET,O,La,DET,False,False,FALSE,,both
La,DET,B,La,DET,False,False,FALSE,,both
buena,ADJ,O,bueno,Stop Word,False,False,FALSE,,both
buena,ADJ,I,bueno,Stop Word,False,False,FALSE,,both
noticia,NOUN,O,noticiar,,True,,FALSE,,both
hacen,VERB,O,hacer,Stop Word,False,False,FALSE,,both
80,NUM,O,80,NUM,False,False,FALSE,,both
%,SYM,O,%,SYM,False,False,FALSE,,both
%,SYM,I,%,SYM,False,False,FALSE,,both
seguros,ADJ,O,seguro,,True,,FALSE,,both
restringir,AUX,O,restringir,AUX,False,False,FALSE,,both
quién,PRON,O,quién,PRON,False,False,FALSE,,both
puede,AUX,O,poder,AUX,False,False,FALSE,,both
esas,DET,O,ese,DET,False,False,FALSE,,both
algunos,DET,O,alguno,DET,False,False,FALSE,,both
algunos,PRON,O,alguno,PRON,False,False,FALSE,,both
algunos,PRON,I,alguno,PRON,False,False,FALSE,,both
ejemplo,NOUN,O,ejemplo,Stop Word,False,False,FALSE,,both
ejemplo,NOUN,I,ejemplo,Stop Word,False,False,FALSE,,both
huella,NOUN,I,hollar,Name Entity,False,False,FALSE,,both
huella,NOUN,O,hollar,,True,,FALSE,,both
digital,ADJ,I,digital,Name Entity,False,False,FALSE,,both
digital,ADJ,I,digital,Name Entity,False,False,TRUE,False,both
digital,ADJ,O,digital,,True,,FALSE,,both
digital,ADJ,O,digital,,True,,TRUE,False,both
Sin,ADP,B,Sin,ADP,False,False,FALSE,,both
embargo,NOUN,I,embargar,Stop Word,False,False,FALSE,,both
mitad,NOUN,O,mitad,,True,,FALSE,,both
entrevistadas,ADJ,O,entrevistar,,True,,FALSE,,both
declararon,VERB,O,declarar,,True,,FALSE,,both
piensan,VERB,O,pensar,,True,,FALSE,,both
parecerá,VERB,O,parecer,,True,,FALSE,,both
bien,ADV,O,bien,ADV,False,False,FALSE,,both
bien,ADV,I,bien,ADV,False,False,FALSE,,both
compartan,VERB,O,compartir,,True,,FALSE,,both
solamente,ADV,O,solamente,ADV,False,False,FALSE,,both
al,ADP,O,al,ADP,False,False,FALSE,,both
15,NUM,O,15,NUM,False,False,FALSE,,both
preocupa,VERB,O,preocupar,,True,,FALSE,,both
piensen,VERB,O,pensar,,True,,FALSE,,both
dentro,ADV,O,dentro,ADV,False,False,FALSE,,both
unos,DET,O,uno,DET,False,False,FALSE,,both
unos,PRON,O,uno,PRON,False,False,FALSE,,both
años,NOUN,O,año,,True,,FALSE,,both
Sociedad,PROPN,I,Sociedad,PROPN,False,False,FALSE,,both
Nacional,PROPN,I,Nacional,PROPN,False,False,FALSE,,both
Prevención,PROPN,I,Prevención,PROPN,False,False,FALSE,,both
Crueldad,PROPN,I,Crueldad,PROPN,False,False,FALSE,,both
contra,ADP,I,contra,ADP,False,False,FALSE,,both
contra,ADP,O,contra,ADP,False,False,FALSE,,both
Niños,PROPN,I,Niños,PROPN,False,False,FALSE,,both
NSPCC,PROPN,B,NSPCC,PROPN,False,False,FALSE,,both
siglas,NOUN,O,sigla,,True,,FALSE,,both
inglés,NOUN,O,inglés,,True,,FALSE,,both
inglés,ADJ,O,inglés,,True,,FALSE,,both
advierte,VERB,O,advertir,,True,,FALSE,,both
advierte,VERB,I,advertir,Name Entity,False,False,FALSE,,both
vez,NOUN,O,vez,Stop Word,False,False,FALSE,,both
