Token,Language,POS,NE,Lemma,Anglicism
sonrisas,,NOUN,O,sonrisa,
",",PUNCT,PUNCT,O,",",No
palabras,,NOUN,O,palabra,
",",PUNCT,PUNCT,O,",",No
pasos,,NOUN,O,paso,
...,PUNCT,PUNCT,O,...,No
y,CONJ,CONJ,O,y,No
cada,DET,DET,O,cada,No
una,PRON,PRON,O,uno,No
de,ADP,ADP,O,de,No
las,DET,DET,O,los,No
anécdotas,,NOUN,O,anécdota,
de,ADP,ADP,O,de,No
los,DET,DET,O,lo,No
más,ADV,ADV,O,más,No
pequeños,,ADJ,O,pequeño,
en,ADP,ADP,O,en,No
Facebook,PROPN,PROPN,B,Facebook,No
",",PUNCT,PUNCT,O,",",No
Instagram,PROPN,PROPN,B,Instagram,No
y,CONJ,CONJ,O,y,No
otras,DET,DET,O,otro,No
redes,,NOUN,O,redar,
sociales,,ADJ,O,social,
.,PUNCT,PUNCT,O,.,No
Y,CONJ,CONJ,O,Y,No
se,PRON,PRON,O,se,No
ha,AUX,AUX,O,haber,No
convertido,,VERB,O,convertir,
en,ADP,ADP,O,en,No
una,DET,DET,O,uno,No
práctica,,NOUN,O,práctico,
tan,ADV,ADV,O,tan,No
habitual,,ADJ,O,habitual,
que,SCONJ,SCONJ,O,que,No
el,DET,DET,O,el,No
diccionario,,NOUN,O,diccionario,
británico,,ADJ,O,británico,
Collins,PROPN,PROPN,B,Collins,No
lo,PRON,PRON,O,el,No
incluyó,,VERB,O,incluir,
en,ADP,ADP,O,en,No
sus,DET,DET,O,su,No
páginas,,NOUN,O,página,
en,ADP,ADP,O,en,No
2016,,NOUN,O,2016,
.,PUNCT,PUNCT,O,.,No
Desde,ADP,ADP,O,Desde,No
entonces,ADV,ADV,O,entonces,No
",",PUNCT,PUNCT,O,",",No
el,DET,DET,O,el,No
fenómeno,,NOUN,O,fenómeno,
no,ADV,ADV,O,no,No
ha,AUX,AUX,O,haber,No
dejado,AUX,AUX,O,dejar,No
de,ADP,ADP,O,de,No
crecer,,VERB,O,crecer,
.,PUNCT,PUNCT,O,.,No
Hasta,ADP,ADP,B,Hasta,No
ahora,ADV,ADV,O,ahora,No
",",PUNCT,PUNCT,O,",",No
no,ADV,ADV,O,no,No
ha,AUX,AUX,O,haber,No
existido,,VERB,O,existir,
otra,DET,DET,O,otro,No
generación,,NOUN,O,generación,
de,ADP,ADP,O,de,No
niños,,NOUN,O,niño,
con,ADP,ADP,O,con,No
una,DET,DET,O,uno,No
infancia,,NOUN,O,infancia,
tan,ADV,ADV,O,tan,No
pública,,ADJ,O,público,
.,PUNCT,PUNCT,O,.,No
Y,CONJ,CONJ,O,Y,No
es,AUX,AUX,O,ser,No
probable,,ADJ,O,probable,
que,SCONJ,SCONJ,O,que,No
",",PUNCT,PUNCT,O,",",No
cuando,SCONJ,SCONJ,O,cuando,No
crezcan,,VERB,O,crecer,
",",PUNCT,PUNCT,O,",",No
muchos,PRON,PRON,O,mucho,No
no,ADV,ADV,O,no,No
estén,AUX,AUX,O,estar,No
de,ADP,ADP,O,de,No
acuerdo,Stop Word,NOUN,O,acordar,No
con,ADP,ADP,O,con,No
ello,PRON,PRON,O,él,No
.,PUNCT,PUNCT,O,.,No
¿,PUNCT,PUNCT,B,¿,No
Hasta,ADP,ADP,I,Hasta,No
qué,DET,DET,O,qué,No
punto,,NOUN,O,punto,
es,AUX,AUX,O,ser,No
dañino,,ADJ,O,dañino,
el,DET,DET,O,el,No
"""",PUNCT,PUNCT,O,"""",No
sharenting,,NOUN,O,sharenting,
"""",PUNCT,PUNCT,O,"""",No
?,PUNCT,PUNCT,O,?,No
3,NUM,NUM,O,3,No
categorías,,NOUN,O,categoría,
Podría,PROPN,PROPN,B,Podría,No
decirse,,VERB,O,decirse,
que,PRON,PRON,O,que,No
existen,Stop Word,VERB,O,existir,No
tres,NUM,NUM,O,tres,No
categorías,,NOUN,O,categoría,
de,ADP,ADP,O,de,No
padres,,NOUN,O,padre,
en,ADP,ADP,O,en,No
las,DET,DET,O,los,No
redes,,NOUN,O,redar,
sociales,,ADJ,O,social,
:,PUNCT,PUNCT,O,:,No
Los,DET,DET,O,Los,No
orgullosos,,ADJ,O,orgulloso,
Los,DET,DET,B,Los,No
protectores,Name Entity,NOUN,I,protector,No
Los,DET,DET,B,Los,No
irritados,,ADJ,O,irritar,
Los,DET,DET,B,Los,No
primeros,Stop Word,ADJ,O,primero,No
son,AUX,AUX,O,ser,No
aquellos,PRON,PRON,O,aquel,No
a,ADP,ADP,O,a,No
quienes,PRON,PRON,O,quien,No
les,PRON,PRON,O,les,No
encantaría,,VERB,O,encantar,
que,SCONJ,SCONJ,O,que,No
sus,DET,DET,O,su,No
contactos,,NOUN,O,contacto,
de,ADP,ADP,O,de,No
Facebook,PROPN,PROPN,B,Facebook,No
lo,PRON,PRON,O,el,No
supieran,,VERB,O,saber,
todo,PRON,PRON,O,todo,No
sobre,ADP,ADP,O,sobrar,No
sus,DET,DET,O,su,No
hijos,,NOUN,O,hijo,
.,PUNCT,PUNCT,O,.,No
Y,CONJ,CONJ,B,Y,No
se,PRON,PRON,O,se,No
encargan,,VERB,O,encargar,
de,ADP,ADP,O,de,No
hacerlo,Stop Word,NOUN,O,hacerlo,No
publicando,,VERB,O,publicar,
cada,DET,DET,O,cada,No
foto,,NOUN,O,foto,
y,CONJ,CONJ,O,y,No
anécdota,,VERB,O,anécdota,
a,ADP,ADP,O,a,No
través,Stop Word,NOUN,O,través,No
de,ADP,ADP,O,de,No
la,DET,DET,O,lo,No
red,,NOUN,O,red,
social,,ADJ,O,social,
.,PUNCT,PUNCT,O,.,No
Savannah,PROPN,PROPN,B,Savannah,No
Morrison,PROPN,PROPN,I,Morrison,No
",",PUNCT,PUNCT,O,",",No
de,ADP,ADP,O,de,No
Glasgow,PROPN,PROPN,B,Glasgow,No
",",PUNCT,PUNCT,O,",",No
Escocia,PROPN,PROPN,B,Escocia,No
",",PUNCT,PUNCT,O,",",No
es,AUX,AUX,O,ser,No
una,PRON,PRON,O,uno,No
de,ADP,ADP,O,de,No
ellas,PRON,PRON,O,ellos,No
.,PUNCT,PUNCT,O,.,No
"""",PUNCT,PUNCT,O,"""",No
Me,PRON,PRON,O,Me,No
encanta,,VERB,O,encantar,
publicar,,VERB,O,publicar,
fotos,,NOUN,O,foto,
de,ADP,ADP,O,de,No
mi,DET,DET,O,mi,No
pequeño,,ADJ,O,pequeño,
en,ADP,ADP,O,en,No
Facebook,PROPN,PROPN,B,Facebook,No
e,CONJ,CONJ,O,e,No
Instagram,PROPN,PROPN,B,Instagram,No
.,PUNCT,PUNCT,O,.,No
Me,PRON,PRON,B,Me,No
encanta,,VERB,O,encantar,
que,SCONJ,SCONJ,O,que,No
mis,DET,DET,O,mi,No
amigos,,NOUN,O,amigo,
y,CONJ,CONJ,O,y,No
familiares,,NOUN,O,familiar,
las,PRON,PRON,O,los,No
comenten,,VERB,O,comentar,
o,CONJ,CONJ,O,o,No
hagan,,VERB,O,hacer,
clic,,NOUN,O,clic,
en,ADP,ADP,O,en,No
',SYM,SYM,O,',No
Me,PRON,PRON,B,Me,No
gusta,Name Entity,VERB,I,gustar,No
',SYM,SYM,I,',No
"""",PUNCT,PUNCT,O,"""",No
",",PUNCT,PUNCT,O,",",No
le,PRON,PRON,O,le,No
cuenta,Stop Word,VERB,O,contar,No
a,ADP,ADP,O,a,No
la,DET,DET,O,lo,No
BBC,PROPN,PROPN,B,BBC,No
.,PUNCT,PUNCT,O,.,No
"""",PUNCT,PUNCT,O,"""",No
También,ADV,ADV,O,También,No
disfruto,AUX,AUX,O,disfrutar,No
comentando,,VERB,O,comentar,
y,CONJ,CONJ,O,y,No
haciendo,Stop Word,VERB,O,hacer,No
like,,VERB,O,like,
en,ADP,ADP,O,en,No
las,DET,DET,O,los,No
fotos,,NOUN,O,foto,
de,ADP,ADP,O,de,No
los,DET,DET,O,lo,No
hijos,,NOUN,O,hijo,
de,ADP,ADP,O,de,No
mis,DET,DET,O,mi,No
amigos,,NOUN,O,amigo,
y,CONJ,CONJ,O,y,No
familiares,,NOUN,O,familiar,
.,PUNCT,PUNCT,O,.,No
Me,PRON,PRON,B,Me,No
parece,AUX,AUX,O,parecer,No
increíble,,ADJ,O,increíble,
que,SCONJ,SCONJ,O,que,No
pueda,AUX,AUX,O,poder,No
sentirme,,VERB,O,sentirme,
parte,Stop Word,NOUN,O,partir,No
de,ADP,ADP,O,de,No
sus,DET,DET,O,su,No
vidas,,NOUN,O,vida,
estando,AUX,AUX,O,estar,No
a,ADP,ADP,O,a,No
miles,NUM,NUM,O,mil,No
de,ADP,ADP,O,de,No
kilómetros,,NOUN,O,kilómetro,
de,ADP,ADP,O,de,No
distancia,,NOUN,O,distanciar,
"""",PUNCT,PUNCT,O,"""",No
.,PUNCT,PUNCT,O,.,No
"""",PUNCT,PUNCT,O,"""",No
En,ADP,ADP,O,En,No
mi,DET,DET,O,mi,No
opinión,,NOUN,O,opinión,
",",PUNCT,PUNCT,O,",",No
mientras,SCONJ,SCONJ,O,mientras,No
las,DET,DET,O,los,No
fotos,,NOUN,O,foto,
no,ADV,ADV,O,no,No
sean,AUX,AUX,O,ser,No
indecentes,,ADJ,O,indecente,
y,CONJ,CONJ,O,y,No
se,PRON,PRON,O,se,No
pueda,AUX,AUX,O,poder,No
justificar,,VERB,O,justificar,
la,DET,DET,O,lo,No
presencia,,NOUN,O,presenciar,
del,ADP,ADP,O,del,No
niño,,NOUN,O,niño,
(,PUNCT,PUNCT,O,(,No
si,SCONJ,SCONJ,O,si,No
se,PRON,PRON,O,se,No
le,PRON,PRON,O,le,No
pregunta,,VERB,O,preguntar,
cuando,SCONJ,SCONJ,O,cuando,No
crece,,VERB,O,crecer,
),PUNCT,PUNCT,O,),No
no,ADV,ADV,O,no,No
hay,AUX,AUX,O,haber,No
problema,,NOUN,O,problema,
"""",PUNCT,PUNCT,O,"""",No
",",PUNCT,PUNCT,O,",",No
agrega,,VERB,O,agregar,
.,PUNCT,PUNCT,O,.,No
Lo,DET,DET,B,Lo,No
que,PRON,PRON,I,que,No
genera,Name Entity,VERB,I,generar,No
debate,Name Entity,NOUN,I,debatir,No
es,AUX,AUX,O,ser,No
que,SCONJ,SCONJ,O,que,No
",",PUNCT,PUNCT,O,",",No
para,ADP,ADP,O,parir,No
muchos,PRON,PRON,O,mucho,No
",",PUNCT,PUNCT,O,",",No
el,DET,DET,O,el,No
solo,Stop Word,ADJ,O,solo,No
hecho,Stop Word,NOUN,O,hacer,No
de,ADP,ADP,O,de,No
publicar,,VERB,O,publicar,
una,DET,DET,O,uno,No
foto,,NOUN,O,foto,
sin,ADP,ADP,O,sin,No
el,DET,DET,O,el,No
permiso,,NOUN,O,permiso,
del,ADP,ADP,O,del,No
menor,,ADJ,O,menor,
ya,ADV,ADV,O,ya,No
es,AUX,AUX,O,ser,No
indecente,,ADJ,O,indecente,
.,PUNCT,PUNCT,O,.,No
Son,AUX,AUX,B,Son,No
los,DET,DET,I,lo,No
protectores,Name Entity,NOUN,I,protector,No
de,ADP,ADP,O,de,No
la,DET,DET,O,lo,No
privacidad,,NOUN,O,privacidad,
",",PUNCT,PUNCT,O,",",No
no,ADV,ADV,O,no,No
menos,ADV,ADV,O,menos,No
orgullosos,,ADJ,O,orgulloso,
de,ADP,ADP,O,de,No
sus,DET,DET,O,su,No
hijos,,NOUN,O,hijo,
pero,CONJ,CONJ,O,pero,No
mucho,ADV,ADV,O,mucho,No
más,ADV,ADV,O,más,No
cautelosos,,ADJ,O,cauteloso,
a,ADP,ADP,O,a,No
la,DET,DET,O,lo,No
hora,,NOUN,O,hora,
de,ADP,ADP,O,de,No
publicar,,VERB,O,publicar,
imágenes,,NOUN,O,imagen,
en,ADP,ADP,O,en,No
las,DET,DET,O,los,No
que,PRON,PRON,O,que,No
aparecen,,VERB,O,aparecer,
los,DET,DET,O,lo,No
menores,,ADJ,O,menor,
.,PUNCT,PUNCT,O,.,No
"""",PUNCT,PUNCT,O,"""",No
Hago,Name Entity,VERB,B,Hago,No
todo,DET,DET,O,todo,No
lo,DET,DET,O,el,No
posible,Stop Word,ADJ,O,posible,No
por,ADP,ADP,O,por,No
no,ADV,ADV,O,no,No
poner,Stop Word,VERB,O,poner,No
ninguna,DET,DET,O,ninguno,No
foto,,NOUN,O,foto,
de,ADP,ADP,O,de,No
mi,DET,DET,O,mi,No
hijo,,NOUN,O,hijo,
en,ADP,ADP,O,en,No
Facebook,PROPN,PROPN,B,Facebook,No
"""",PUNCT,PUNCT,O,"""",No
",",PUNCT,PUNCT,O,",",No
explica,,VERB,O,explicar,
la,DET,DET,O,lo,No
briánica,,NOUN,O,briánica,
Rosie,PROPN,PROPN,B,Rosie,No
McDonald,PROPN,PROPN,I,McDonald,No
.,PUNCT,PUNCT,O,.,No
"""",PUNCT,PUNCT,O,"""",No
Es,AUX,AUX,O,Es,No
un,DET,DET,O,uno,No
ser,Stop Word,NOUN,O,ser,No
humano,,ADJ,O,humanar,
y,CONJ,CONJ,O,y,No
tiene,Stop Word,VERB,O,tener,No
el,DET,DET,O,el,No
mismo,DET,DET,O,mismo,No
derecho,,NOUN,O,derecho,
a,ADP,ADP,O,a,No
la,DET,DET,O,lo,No
privacidad,,NOUN,O,privacidad,
que,PRON,PRON,O,que,No
cualquier,DET,DET,O,cualquiera,No
otra,DET,DET,O,otro,No
persona,,NOUN,O,personar,
.,PUNCT,PUNCT,O,.,No
Siendo,AUX,AUX,B,Siendo,No
tan,ADV,ADV,O,tan,No
pequeño,,ADJ,O,pequeño,
",",PUNCT,PUNCT,O,",",No
su,DET,DET,O,su,No
capacidad,,NOUN,O,capacidad,
de,ADP,ADP,O,de,No
comprensión,,NOUN,O,comprensión,
sobre,ADP,ADP,O,sobrar,No
lo,DET,DET,O,el,No
que,PRON,PRON,O,que,No
eso,PRON,PRON,O,ese,No
significa,,VERB,O,significar,
es,AUX,AUX,O,ser,No
mucho,ADV,ADV,O,mucho,No
menor,,ADJ,O,menor,
que,SCONJ,SCONJ,O,que,No
la,DET,DET,O,lo,No
de,ADP,ADP,O,de,No
un,DET,DET,O,uno,No
adulto,,ADJ,O,adulto,
"""",PUNCT,PUNCT,O,"""",No
.,PUNCT,PUNCT,O,.,No
Rosie,PROPN,PROPN,B,Rosie,No
considera,Stop Word,VERB,O,considerar,No
que,SCONJ,SCONJ,O,que,No
es,AUX,AUX,O,ser,No
"""",PUNCT,PUNCT,O,"""",No
su,DET,DET,O,su,No
trabajo,Stop Word,NOUN,O,trabajar,No
como,SCONJ,SCONJ,O,comer,No
madre,,NOUN,O,madre,
asegurarse,,VERB,O,asegurarse,
de,ADP,ADP,O,de,No
que,SCONJ,SCONJ,O,que,No
los,DET,DET,O,lo,No
derechos,,NOUN,O,derecho,
de,ADP,ADP,O,de,No
su,DET,DET,O,su,No
hijo,,NOUN,O,hijo,
son,AUX,AUX,O,ser,No
reconocidos,,ADJ,O,reconocer,
y,CONJ,CONJ,O,y,No
respetados,,ADJ,O,respetar,
"""",PUNCT,PUNCT,O,"""",No
.,PUNCT,PUNCT,O,.,No
Y,CONJ,CONJ,O,Y,No
por,ADP,ADP,O,por,No
otra,DET,DET,O,otro,No
parte,Stop Word,NOUN,O,partir,No
",",PUNCT,PUNCT,O,",",No
hay,AUX,AUX,O,haber,No
muchas,DET,DET,O,mucho,No
personas,,NOUN,O,personar,
están,AUX,AUX,O,estar,No
irritadas,,ADJ,O,irritar,
y,CONJ,CONJ,O,y,No
hartas,,NOUN,O,harto,
del,ADP,ADP,O,del,No
"""",PUNCT,PUNCT,O,"""",No
sharenting,,NOUN,O,sharenting,
"""",PUNCT,PUNCT,O,"""",No
.,PUNCT,PUNCT,O,.,No
Sus,DET,DET,B,Sus,No
muros,Name Entity,NOUN,I,muro,No
de,ADP,ADP,I,de,No
Facebook,PROPN,PROPN,I,Facebook,No
están,AUX,AUX,O,estar,No
repletos,,ADJ,O,repleto,
de,ADP,ADP,O,de,No
fotos,,NOUN,O,foto,
de,ADP,ADP,O,de,No
los,DET,DET,O,lo,No
hijos,,NOUN,O,hijo,
de,ADP,ADP,O,de,No
sus,DET,DET,O,su,No
amigos,,NOUN,O,amigo,
y,CONJ,CONJ,O,y,No
familiares,,NOUN,O,familiar,
.,PUNCT,PUNCT,O,.,No
Y,CONJ,CONJ,B,Y,No
ya,ADV,ADV,I,ya,No
tienen,Stop Word,VERB,I,tener,No
bastante,ADV,ADV,I,bastante,No
con,ADP,ADP,I,con,No
eso,PRON,PRON,I,ese,No
.,PUNCT,PUNCT,I,.,No
"""",PUNCT,PUNCT,O,"""",No
Detesto,Name Entity,VERB,B,Detesto,No
cuando,SCONJ,SCONJ,O,cuando,No
los,DET,DET,O,lo,No
padres,,NOUN,O,padre,
publican,,VERB,O,publicar,
cosas,Stop Word,NOUN,O,coser,No
como,SCONJ,SCONJ,O,comer,No
mensajes,,NOUN,O,mensaje,
de,ADP,ADP,O,de,No
cumpleaños,,NOUN,O,cumpleaños,
cuando,SCONJ,SCONJ,O,cuando,No
sus,DET,DET,O,su,No
hijos,,NOUN,O,hijo,
todavía,ADV,ADV,O,todavía,No
no,ADV,ADV,O,no,No
son,AUX,AUX,O,ser,No
lo,DET,DET,O,el,No
suficientemente,ADV,ADV,O,suficientemente,No
mayores,,ADJ,O,mayor,
como,SCONJ,SCONJ,O,comer,No
para,ADP,ADP,O,parir,No
leerlo,,NOUN,O,leerlo,
"""",PUNCT,PUNCT,O,"""",No
",",PUNCT,PUNCT,O,",",No
le,PRON,PRON,O,le,No
dijo,Stop Word,VERB,O,decir,No
a,ADP,ADP,O,a,No
la,DET,DET,O,lo,No
BBC,PROPN,PROPN,B,BBC,No
Shaun,PROPN,PROPN,B,Shaun,No
Bacon,PROPN,PROPN,I,Bacon,No
.,PUNCT,PUNCT,O,.,No
"""",PUNCT,PUNCT,O,"""",No
No,ADV,ADV,O,No,No
me,PRON,PRON,O,me,No
cuenten,,VERB,O,contar,
si,SCONJ,SCONJ,O,si,No
es,AUX,AUX,O,ser,No
su,DET,DET,O,su,No
cumpleaños,,NOUN,O,cumpleaños,
o,CONJ,CONJ,O,o,No
lo,DET,DET,O,el,No
orgullosos,,ADJ,O,orgulloso,
que,PRON,PRON,O,que,No
están,AUX,AUX,O,estar,No
de,ADP,ADP,O,de,No
él,PRON,PRON,O,él,No
o,CONJ,CONJ,O,o,No
de,ADP,ADP,O,de,No
ella,PRON,PRON,O,él,No
",",PUNCT,PUNCT,O,",",No
díganselo,,NOUN,O,díganselo,
a,ADP,ADP,O,a,No
la,DET,DET,O,lo,No
cara,,NOUN,O,caro,
",",PUNCT,PUNCT,O,",",No
que,PRON,PRON,O,que,No
viven,,VERB,O,vivir,
en,ADP,ADP,O,en,No
la,DET,DET,O,lo,No
misma,DET,DET,O,mismo,No
casa,,NOUN,O,casar,
.,PUNCT,PUNCT,O,.,No
No,ADV,ADV,B,No,No
necesito,Name Entity,VERB,I,necesitar,No
ver,Stop Word,VERB,I,ver,No
eso,PRON,PRON,I,ese,No
"""",PUNCT,PUNCT,O,"""",No
",",PUNCT,PUNCT,O,",",No
concluye,,VERB,O,concluir,
.,PUNCT,PUNCT,O,.,No
Ofcom,PROPN,PROPN,B,Ofcom,No
",",PUNCT,PUNCT,O,",",No
el,DET,DET,O,el,No
regulador,,NOUN,O,regulador,
de,ADP,ADP,O,de,No
las,DET,DET,O,los,No
comunicaciones,,NOUN,O,comunicación,
de,ADP,ADP,O,de,No
Reino,PROPN,PROPN,B,Reino,No
Unido,PROPN,PROPN,I,Unido,No
",",PUNCT,PUNCT,O,",",No
elaboró,,VERB,O,elaborar,
un,DET,DET,O,uno,No
estudio,,NOUN,O,estudiar,
en,ADP,ADP,O,en,No
2017,,NOUN,O,2017,
en,ADP,ADP,O,en,No
el,DET,DET,O,el,No
que,PRON,PRON,O,que,No
sugiere,,VERB,O,sugerir,
que,SCONJ,SCONJ,O,que,No
publicar,,VERB,O,publicar,
fotos,,NOUN,O,foto,
y,CONJ,CONJ,O,y,No
videos,,NOUN,O,videos,
familiares,,ADJ,O,familiar,
en,ADP,ADP,O,en,No
las,DET,DET,O,los,No
redes,,NOUN,O,redar,
sociales,,ADJ,O,social,
se,PRON,PRON,O,se,No
ha,AUX,AUX,O,haber,No
convertido,,VERB,O,convertir,
en,ADP,ADP,O,en,No
un,DET,DET,O,uno,No
"""",PUNCT,PUNCT,O,"""",No
problema,,NOUN,O,problema,
divisorio,,ADJ,O,divisorio,
"""",PUNCT,PUNCT,O,"""",No
.,PUNCT,PUNCT,O,.,No
"""",PUNCT,PUNCT,O,"""",No
Los,DET,DET,O,Los,No
padres,,NOUN,O,padre,
están,AUX,AUX,O,estar,No
muy,ADV,ADV,O,muy,No
divididos,,ADJ,O,dividir,
sobre,ADP,ADP,O,sobrar,No
si,SCONJ,SCONJ,O,si,No
es,AUX,AUX,O,ser,No
o,CONJ,CONJ,O,o,No
no,ADV,ADV,O,no,No
sensato,AUX,AUX,O,sensato,No
compartir,,VERB,O,compartir,
fotos,,NOUN,O,foto,
de,ADP,ADP,O,de,No
sus,DET,DET,O,su,No
hijos,,NOUN,O,hijo,
en,ADP,ADP,O,en,No
internet,,NOUN,O,internet,
"""",PUNCT,PUNCT,O,"""",No
le,PRON,PRON,O,le,No
dijo,Stop Word,VERB,O,decir,No
a,ADP,ADP,O,a,No
la,DET,DET,O,lo,No
BBC,PROPN,PROPN,B,BBC,No
Lindsey,PROPN,PROPN,I,Lindsey,No
Fussell,PROPN,PROPN,I,Fussell,No
",",PUNCT,PUNCT,O,",",No
directora,,NOUN,O,director,
de,ADP,ADP,O,de,No
consumo,,NOUN,O,consumir,
de,ADP,ADP,O,de,No
Ofcom,PROPN,PROPN,B,Ofcom,No
.,PUNCT,PUNCT,O,.,No
"""",PUNCT,PUNCT,O,"""",No
La,DET,DET,O,La,No
buena,Stop Word,ADJ,O,bueno,No
noticia,,NOUN,O,noticiar,
es,AUX,AUX,O,ser,No
que,SCONJ,SCONJ,O,que,No
de,ADP,ADP,O,de,No
quienes,PRON,PRON,O,quien,No
lo,PRON,PRON,O,el,No
hacen,Stop Word,VERB,O,hacer,No
",",PUNCT,PUNCT,O,",",No
el,DET,DET,O,el,No
80,NUM,NUM,O,80,No
%,SYM,SYM,O,%,No
están,AUX,AUX,O,estar,No
seguros,,ADJ,O,seguro,
de,ADP,ADP,O,de,No
restringir,AUX,AUX,O,restringir,No
quién,PRON,PRON,O,quién,No
puede,AUX,AUX,O,poder,No
ver,Stop Word,VERB,O,ver,No
esas,DET,DET,O,ese,No
imágenes,,NOUN,O,imagen,
...,PUNCT,PUNCT,O,...,No
solo,ADV,ADV,O,solo,No
algunos,DET,DET,O,alguno,No
amigos,,NOUN,O,amigo,
y,CONJ,CONJ,O,y,No
familiares,,NOUN,O,familiar,
",",PUNCT,PUNCT,O,",",No
por,ADP,ADP,O,por,No
ejemplo,Stop Word,NOUN,O,ejemplo,No
"""",PUNCT,PUNCT,O,"""",No
",",PUNCT,PUNCT,O,",",No
explica,,VERB,O,explicar,
Lindsey,PROPN,PROPN,B,Lindsey,No
Fussell,PROPN,PROPN,I,Fussell,No
.,PUNCT,PUNCT,O,.,No
La,DET,DET,B,La,No
huella,Name Entity,NOUN,I,hollar,No
digital,Name Entity,ADJ,I,digital,No
Sin,ADP,ADP,B,Sin,No
embargo,Stop Word,NOUN,I,embargar,No
",",PUNCT,PUNCT,I,",",No
más,ADV,ADV,I,más,No
de,ADP,ADP,I,de,No
la,DET,DET,I,lo,No
mitad,Name Entity,NOUN,I,mitad,No
de,ADP,ADP,O,de,No
las,DET,DET,O,los,No
personas,,NOUN,O,personar,
entrevistadas,,ADJ,O,entrevistar,
por,ADP,ADP,O,por,No
Ofcom,PROPN,PROPN,B,Ofcom,No
declararon,,VERB,O,declarar,
que,SCONJ,SCONJ,O,que,No
piensan,,VERB,O,pensar,
que,SCONJ,SCONJ,O,que,No
a,ADP,ADP,O,a,No
sus,DET,DET,O,su,No
hijos,,NOUN,O,hijo,
les,PRON,PRON,O,les,No
parecerá,,VERB,O,parecer,
bien,ADV,ADV,O,bien,No
que,SCONJ,SCONJ,O,que,No
compartan,,VERB,O,compartir,
sus,DET,DET,O,su,No
fotos,,NOUN,O,foto,
en,ADP,ADP,O,en,No
la,DET,DET,O,lo,No
red,,NOUN,O,red,
",",PUNCT,PUNCT,O,",",No
y,CONJ,CONJ,O,y,No
solamente,ADV,ADV,O,solamente,No
al,ADP,ADP,O,al,No
15,NUM,NUM,O,15,No
%,SYM,SYM,O,%,No
les,PRON,PRON,O,les,No
preocupa,,VERB,O,preocupar,
que,SCONJ,SCONJ,O,que,No
no,ADV,ADV,O,no,No
piensen,,VERB,O,pensar,
lo,DET,DET,O,el,No
mismo,DET,DET,O,mismo,No
dentro,ADV,ADV,O,dentro,No
de,ADP,ADP,O,de,No
unos,DET,DET,O,uno,No
